sgRNA	Gene	sample1
MGLibA_52466	Taar1	21
MGLibA_30804	Med12l	30
MGLibA_22527	Gpr101	54
MGLibA_02776	Acsm5	9
MGLibA_57612	Usp42	195
MGLibA_16282	Epb4.1l4b	71
MGLibA_08965	Cct3	27
MGLibA_22166	Gna12	84
MGLibA_51578	St6galnac3	150
MGLibA_47393	Sctr	108
MGLibA_15201/MGLibA_15203/MGLibA_15206/MGLibA_15210/	Dynlt1a/Dynlt1b/Dynlt1c/Dynlt1f/	289
MGLibA_32952	Myo1d	126
MGLibA_00167	1500012F01Rik	118
MGLibA_10210	Chid1	221
MGLibA_06558	Batf2	125
MGLibA_34306	Nmt2	133
MGLibA_56197	Tshz2	161
MGLibA_52351	Synj1	129
MGLibA_47501	Sdsl	139
MGLibA_27274	Keap1	96
MGLibA_46589	Rsf1	59
MGLibA_14791	Dph7	81
MGLibA_21395/MGLibA_21409/	Gm4301/Gm4312/	99
MGLibA_62841	mmu-mir-667	107
MGLibA_10545	Cks2	166
MGLibA_04745	Apom	47
MGLibA_59072	Vsnl1	228
MGLibA_26817	Kazald1	53
MGLibA_17059	Fam109b	26
MGLibA_59034	Vps54	127
MGLibA_42828	Prl3d1	83
MGLibA_26313	Irf4	162
MGLibA_32252	Ms4a4c	158
MGLibA_21956	Gm7714	70
MGLibA_53894	Timm23	72
MGLibA_54925	Tmem98	310
MGLibA_25930	Il9	138
MGLibA_45537	Rhox9	60
MGLibA_16816	Exoc6	135
MGLibA_42360	Ppp1r3c	76
MGLibA_29878	Lyrm2	102
MGLibA_24406	Hist4h4	104
MGLibA_08685	Ccdc88a	230
MGLibA_17351	Fam187b	292
MGLibA_08663	Ccdc82	112
MGLibA_25658	Ikbkap	221
MGLibA_23930	Heatr3	92
MGLibA_11714	Cpne3	31
MGLibA_17463	Fam214b	95
MGLibA_30994	Metrnl	92
MGLibA_48242	Sh2d1b2	24
MGLibA_32014	Mrpl19	109
MGLibA_24990	Hsf3	110
MGLibA_25169	Hvcn1	189
MGLibA_41984	Pomt2	180
MGLibA_58189	Vmn1r200	88
MGLibA_55038	Tmtc4	89
MGLibA_11259	Col11a1	190
MGLibA_20867	Gm15056	139
MGLibA_45243	Rfx7	129
MGLibA_49966	Smad7	131
MGLibA_40114	Pde3a	80
MGLibA_28082	Krt7	128
MGLibA_27026	Kcnk13	88
MGLibA_60711	Zfp386	182
MGLibA_51372	Srsf10	59
MGLibA_01913	A1bg	94
MGLibA_17486	Fam220a	191
MGLibA_31235	Mgll	57
MGLibA_60216	Zcchc11	75
MGLibA_27164	Kctd19	79
MGLibA_21760	Gm5938	182
MGLibA_38692	Olfr951	118
MGLibA_47883	Serpinb2	101
MGLibA_19337	Gal3st2	149
MGLibA_28561	Lce1f	62
MGLibA_47972	Serpini2	73
MGLibA_47296	Scml2	202
MGLibA_51822	Stk4	71
MGLibA_24789	Hpgds	41
MGLibA_26992	Kcnj16	141
MGLibA_00929	2610034B18Rik	40
MGLibA_30851	Med25	58
MGLibA_44378	Rad54l	304
MGLibA_14130	Dhx37	155
MGLibA_38487	Olfr862	67
MGLibA_49275	Slc30a9	95
MGLibA_60019	Zbtb11	152
MGLibA_13328	Dbpht2	228
MGLibA_38702	Olfr955	209
MGLibA_30987	Metap1d	213
MGLibA_24977	Hsdl2	72
MGLibA_66591	NonTargetingControlGuideForMouse_0186	90
MGLibA_62030	mmu-mir-1981	112
MGLibA_28149	Krtap16-3	81
MGLibA_19710	Gdf3	57
MGLibA_28031	Krt35	88
MGLibA_07632	Cabp4	78
MGLibA_09390	Cdca4	140
MGLibA_51433	Ssc5d	229
MGLibA_52409	Syt17	43
MGLibA_28632	Lcn3	591
MGLibA_59377	Wdr72	97
MGLibA_24514	Hmgxb4	57
MGLibA_24251	Hist1h2ak	118
MGLibA_24046	Hes7	55
MGLibA_01484	4931440L10Rik	124
MGLibA_24452	Hmces	189
MGLibA_57446	Urb1	133
MGLibA_64459	mmu-mir-6973b	276
MGLibA_45253	Rfxap	100
MGLibA_49177	Slc27a2	95
MGLibA_45723	Rnase9	83
MGLibA_38004	Olfr663	57
MGLibA_66547	NonTargetingControlGuideForMouse_0142	100
MGLibA_08804	Ccl7	66
MGLibA_34410	Nop56	171
MGLibA_36894	Olfr198	249
MGLibA_26279	Irak1	85
MGLibA_15007	Dtwd2	44
MGLibA_27692	Klk13	153
MGLibA_00848	2310079G19Rik	148
MGLibA_15404	Ebna1bp2	97
MGLibA_18480	Fitm1	18
MGLibA_19308	Gabrr3	186
MGLibA_53098	Tceanc	34
MGLibA_44047	Qtrt1	114
MGLibA_02889	Acvr2b	178
MGLibA_27626	Klhl2	83
MGLibA_66901	NonTargetingControlGuideForMouse_0496	89
MGLibA_01026	03-Mar	56
MGLibA_14485	Dnajb6	73
MGLibA_30130	Mamdc4	213
MGLibA_52561	Tada2b	184
MGLibA_62013	mmu-mir-6354	70
MGLibA_33539	Ndufa4l2	71
MGLibA_13954	Derl2	184
MGLibA_02923	Adam12	56
MGLibA_45725	Rnase9	130
MGLibA_13362	Dcaf13	115
MGLibA_62219	mmu-mir-6412	104
MGLibA_06724	Bcl6	320
MGLibA_11019	Cndp1	131
MGLibA_42696	Prkaa1	143
MGLibA_58253	Vmn1r21	316
MGLibA_16894	Ezr	65
MGLibA_52689	Tap2	246
MGLibA_26958	Kcnh7	304
MGLibA_38424	Olfr828	110
MGLibA_59667	Wwc1	154
MGLibA_05091	Arid5a	41
MGLibA_01391	4930558K02Rik	80
MGLibA_59017	Vps4a	164
MGLibA_45455	Rhox12	176
MGLibA_13155	D630003M21Rik	42
MGLibA_03837	Alg2	159
MGLibA_14991	Dtd2	145
MGLibA_01199	4930404A10Rik	99
MGLibA_32027	Mrpl22	228
MGLibA_26967	Kcnip2	74
MGLibA_40435	Pex12	408
MGLibA_29633	Lsg1	108
MGLibA_25378	Ifit1	106
MGLibA_43701	Ptp4a2	87
MGLibA_11368	Col6a5	155
MGLibA_34178	Nlrc3	67
MGLibA_02278	Abca3	50
MGLibA_16090	Emilin3	55
MGLibA_28001	Krt25	191
MGLibA_18686	Fndc8	109
MGLibA_01073	3110079O15Rik	160
MGLibA_15099	Dusp27	252
MGLibA_03904	Alox5	62
MGLibA_64971	mmu-mir-7689	79
MGLibA_59721	Xkr7	149
MGLibA_01791	9030617O03Rik	152
MGLibA_01517	4933402E13Rik	517
MGLibA_52731	Tas2r103	147
MGLibA_38391	Olfr816	134
MGLibA_10257	Chmp4c	266
MGLibA_14432	Dnah7b	43
MGLibA_62787	mmu-mir-411	151
MGLibA_00022	0610011F06Rik	91
MGLibA_58424	Vmn1r56	171
MGLibA_20783/MGLibA_20786/MGLibA_20789/MGLibA_20792/MGLibA_20795/MGLibA_20798/MGLibA_20801/MGLibA_20804/MGLibA_20807/MGLibA_20816/	Gm14474/Gm14475/Gm14476/Gm14477/Gm14478/Gm14479/Gm14482/Gm14483/Gm14484/Gm14501/	621
MGLibA_31428	Mks1	124
MGLibA_66324	mmu-mir-325	96
MGLibA_00218	1700001P01Rik	75
MGLibA_25857	Il24	168
MGLibA_01197	4930404A10Rik	145
MGLibA_34234	Nlrp9b	117
MGLibA_65121	mmu-mir-93	207
MGLibA_22721	Gpr39	108
MGLibA_38520	Olfr876	227
MGLibA_37046	Olfr275	152
MGLibA_14675	Dock1	30
MGLibA_21801	Gm6251	108
MGLibA_37087	Olfr293	49
MGLibA_37277	Olfr368	137
MGLibA_42417	Ppp2r3c	104
MGLibA_15856	Eif4b	272
MGLibA_35153	Nup93	122
MGLibA_29734	Ltv1	244
MGLibA_42433	Ppp2r5d	45
MGLibA_13602	Ddx25	82
MGLibA_57589	Usp34	147
MGLibA_09243	Cd81	211
MGLibA_20056	Glb1l2	96
MGLibA_18050	Fbxo9	125
MGLibA_14895	Drc1	290
MGLibA_41680	Pnkp	92
MGLibA_10562	Clca2	317
MGLibA_64031	mmu-mir-669e	87
MGLibA_13719/MGLibA_13740/MGLibA_20919/MGLibA_21159/	Defa20/Defa2/Gm15308/Gm21002/	317
MGLibA_41149	Pkd2	20
MGLibA_57744	Vamp1	26
MGLibA_17181	Fam13b	282
MGLibA_37818	Olfr593	265
MGLibA_12789	Cyp2c40	290
MGLibA_45128	Rergl	148
MGLibA_09356	Cdc42ep4	167
MGLibA_61645	Znfx1	138
MGLibA_31844	Mpv17	99
MGLibA_00820	2310045N01Rik	262
MGLibA_19821	Gfral	228
MGLibA_30596	Mc1r	158
MGLibA_35244	Nyap2	152
MGLibA_23663	Hadhb	81
MGLibA_63386	mmu-mir-6392	87
MGLibA_62963	mmu-mir-7094-1	244
MGLibA_64715	mmu-mir-186	213
MGLibA_14446	Dnaja1	151
MGLibA_12838	Cyp2d40	151
MGLibA_38548	Olfr890	151
MGLibA_50288	Sncb	115
MGLibA_18100	Fbxw4	184
MGLibA_38582	Olfr904	173
MGLibA_13054	Cytip	148
MGLibA_59704	Xirp1	31
MGLibA_37988	Olfr657	113
MGLibA_01829	9230110F15Rik	91
MGLibA_13792	Defb25	91
MGLibA_35264	Oas1a	71
MGLibA_56293	Tspyl2	135
MGLibA_58596	Vmn2r112	151
MGLibA_01968/MGLibA_07408/MGLibA_50665/	A530032D15Rik/C130026I21Rik/Sp140/	216
MGLibA_30873	Med4	181
MGLibA_51521	Ssxb3	116
MGLibA_41360	Plcl1	199
MGLibA_19541	Gatsl2	196
MGLibA_05542	Astn1	100
MGLibA_67347	NonTargetingControlGuideForMouse_0942	75
MGLibA_00235	1700007B14Rik	197
MGLibA_52862	Tbc1d10b	228
MGLibA_36172	Olfr127	182
MGLibA_55763	Trim2	158
MGLibA_46991	Sap18	81
MGLibA_15319	E330017A01Rik	251
MGLibA_36524	Olfr1414	79
MGLibA_00308	1700013D24Rik	112
MGLibA_57864	Vezt	123
MGLibA_49814	Slco1c1	126
MGLibA_49157	Slc26a4	269
MGLibA_03633	Akap7	133
MGLibA_47998	Sesn3	202
MGLibA_54290	Tmem126a	37
MGLibA_61311	Zfp870	159
MGLibA_05982	Atxn10	51
MGLibA_02302	Abcb10	164
MGLibA_41114	Pitx2	252
MGLibA_32305	Msh6	143
MGLibA_06025	Aurka	83
MGLibA_11901	Crip1	161
MGLibA_19565	Gbp10	57
MGLibA_35620	Olfr1057	90
MGLibA_65681	mmu-mir-383	290
MGLibA_33117	Naa35	110
MGLibA_64907	mmu-mir-7022	148
MGLibA_38508	Olfr872	50
MGLibA_35038	Nudt1	92
MGLibA_34877	Nt5c1a	115
MGLibA_21542	Gm5087	308
MGLibA_19050	Fubp1	235
MGLibA_42605	Prdm6	253
MGLibA_58233	Vmn1r213	151
MGLibA_03126	Adck4	191
MGLibA_37866	Olfr610	159
MGLibA_20234/MGLibA_20243/MGLibA_20255/MGLibA_20270/MGLibA_20320/MGLibA_20324/MGLibA_20326/MGLibA_20822/MGLibA_20830/MGLibA_20851/MGLibA_21066/MGLibA_21072/MGLibA_21467/MGLibA_21756/	Gm10058/Gm10096/Gm10147/Gm10230/Gm10486/Gm10487/Gm10488/Gm14525/Gm14632/Gm14819/Gm1993/Gm2012/Gm4836/Gm5935/	2541
MGLibA_61696	Zpld1	72
MGLibA_44078	Rab11b	184
MGLibA_49579	Slc4a8	333
MGLibA_08656	Ccdc80	329
MGLibA_01289/MGLibA_21162/	4930467E23Rik/Gm21119/	316
MGLibA_10908	Cltc	169
MGLibA_21958	Gm773	63
MGLibA_05971	Atrnl1	142
MGLibA_55126	Tnfrsf22	110
MGLibA_16515	Eri3	65
MGLibA_54192	Tmed11	113
MGLibA_17237	Fam162a	85
MGLibA_65775	mmu-mir-7071	159
MGLibA_13864	Defb5	121
MGLibA_40258	Pdp1	206
MGLibA_36572/MGLibA_36575/	Olfr1433/Olfr1434/	413
MGLibA_38668	Olfr937	193
MGLibA_02262	Abca15	32
MGLibA_61147	Zfp746	52
MGLibA_09760	Celf1	121
MGLibA_17870	Fbn1	183
MGLibA_06918	Bivm	225
MGLibA_57480	Usf2	29
MGLibA_59592	Wnt2	103
MGLibA_03935	Als2cr11	239
MGLibA_56041	Trp73	120
MGLibA_56000	Troap	152
MGLibA_44852	Rbm7	475
MGLibA_47489	Sdr16c6	127
MGLibA_02996	Adam4	94
MGLibA_30974	Mesdc2	56
MGLibA_66372	mmu-mir-1912	72
MGLibA_25085	Hspe1	29
MGLibA_38680	Olfr944	56
MGLibA_40888	Pigl	338
MGLibA_38675	Olfr93	6
MGLibA_23589	H2-T23	86
MGLibA_65441	mmu-mir-7054	264
MGLibA_48813	Slc16a5	108
MGLibA_21429/MGLibA_22005/MGLibA_57948/MGLibA_57969/MGLibA_58014/MGLibA_58026/MGLibA_58080/	Gm4498/Gm8453/Vmn1r111/Vmn1r118/Vmn1r131/Vmn1r138/Vmn1r166/	797
MGLibA_50939	Spg21	224
MGLibA_60227	Zcchc16	157
MGLibA_34442	Notch3	67
MGLibA_54215	Tmed8	291
MGLibA_38531	Olfr883	18
MGLibA_65235	mmu-mir-6374	64
MGLibA_34304	Nmt1	149
MGLibA_35539	Olfr1029	134
MGLibA_53548	Tfcp2l1	288
MGLibA_62062	mmu-mir-29c	139
