sgRNA	Gene	sample1
MGLibA_00014/MGLibA_20704/MGLibA_20712/MGLibA_20716/MGLibA_20721/MGLibA_20757/MGLibA_20761/MGLibA_20767/MGLibA_21439/MGLibA_22047/MGLibA_35253/	0610010B08Rik/Gm14288/Gm14305/Gm14308/Gm14322/Gm14430/Gm14434/Gm14440/Gm4724/Gm8898/OTTMUSG00000016609/	0
MGLibA_00015/MGLibA_21852/	0610010B08Rik/Gm6710/	0
MGLibA_00016	0610010F05Rik	0
MGLibA_00017	0610010F05Rik	0
MGLibA_00018	0610010F05Rik	0
MGLibA_00019	0610010K14Rik	0
MGLibA_00020	0610010K14Rik	0
MGLibA_00021	0610010K14Rik	0
MGLibA_00022	0610011F06Rik	0
MGLibA_00023	0610011F06Rik	0
MGLibA_00024	0610011F06Rik	0
MGLibA_00025	0610012H03Rik	0
MGLibA_00026	0610012H03Rik	0
MGLibA_00027	0610012H03Rik	0
MGLibA_00028	0610030E20Rik	0
MGLibA_00029	0610030E20Rik	0
MGLibA_00030	0610030E20Rik	0
MGLibA_00031	0610031J06Rik	0
MGLibA_00032	0610031J06Rik	0
MGLibA_00033	0610031J06Rik	0
MGLibA_00034	0610037L13Rik	0
MGLibA_00035	0610037L13Rik	0
MGLibA_00036	0610037L13Rik	0
MGLibA_00037	0610040J01Rik	0
MGLibA_00038	0610040J01Rik	0
MGLibA_00039	0610040J01Rik	0
MGLibA_00058	1100001G20Rik	0
MGLibA_00059	1100001G20Rik	0
MGLibA_00060	1100001G20Rik	0
MGLibA_00061	1110001A16Rik	0
MGLibA_00062	1110001A16Rik	0
MGLibA_00063	1110001A16Rik	0
MGLibA_00064	1110001J03Rik	0
MGLibA_00065	1110001J03Rik	0
MGLibA_00066	1110001J03Rik	0
MGLibA_00067	1110004E09Rik	0
MGLibA_00068	1110004E09Rik	0
MGLibA_00069	1110004E09Rik	0
MGLibA_00070	1110004F10Rik	0
MGLibA_00071	1110004F10Rik	0
MGLibA_00072	1110004F10Rik	0
MGLibA_00073	1110007C09Rik	0
MGLibA_00074	1110007C09Rik	0
MGLibA_00075	1110007C09Rik	0
MGLibA_00076	1110008F13Rik	0
MGLibA_00077	1110008F13Rik	0
MGLibA_00078	1110008F13Rik	0
MGLibA_00079	1110008J03Rik	0
MGLibA_00080	1110008J03Rik	0
MGLibA_00081	1110008J03Rik	0
MGLibA_00082	1110008L16Rik	0
MGLibA_00083	1110008L16Rik	0
MGLibA_00084	1110008L16Rik	0
MGLibA_00085	1110008P14Rik	0
MGLibA_00086	1110008P14Rik	0
MGLibA_00087	1110008P14Rik	0
MGLibA_00088	1110012L19Rik	0
MGLibA_00089	1110012L19Rik	0
MGLibA_00090	1110012L19Rik	0
MGLibA_00091	1110017D15Rik	0
MGLibA_00092	1110017D15Rik	0
MGLibA_00093	1110017D15Rik	0
MGLibA_00094	1110025L11Rik	0
MGLibA_00095/MGLibA_20264/MGLibA_20268/	1110025L11Rik/Gm10228/Gm10229/	0
MGLibA_00096/MGLibA_20265/MGLibA_20267/MGLibA_28245/	1110025L11Rik/Gm10228/Gm10229/Krtap6-1/	0
MGLibA_00097	1110032A03Rik	0
MGLibA_00098	1110032A03Rik	0
MGLibA_00099	1110032A03Rik	0
MGLibA_00100	1110032F04Rik	0
MGLibA_00101	1110032F04Rik	0
MGLibA_00102	1110032F04Rik	0
MGLibA_00103	1110034G24Rik	0
MGLibA_00104	1110034G24Rik	0
MGLibA_00105	1110034G24Rik	0
MGLibA_00106	1110037F02Rik	0
MGLibA_00107	1110037F02Rik	0
MGLibA_00108	1110037F02Rik	0
MGLibA_00109	1110038F14Rik	0
MGLibA_00110	1110038F14Rik	0
MGLibA_00111	1110038F14Rik	0
MGLibA_00112	1110051M20Rik	0
MGLibA_00113	1110051M20Rik	0
MGLibA_00114	1110051M20Rik	0
MGLibA_00115	1110057K04Rik	0
MGLibA_00116	1110057K04Rik	0
MGLibA_00117	1110057K04Rik	0
MGLibA_00118	1110058L19Rik	0
MGLibA_00119	1110058L19Rik	0
MGLibA_00120	1110058L19Rik	0
MGLibA_00121	1110059E24Rik	0
MGLibA_00122	1110059E24Rik	0
MGLibA_00123	1110059E24Rik	0
MGLibA_00124	1110059G10Rik	0
MGLibA_00125	1110059G10Rik	0
MGLibA_00126	1110059G10Rik	0
MGLibA_00127	1110059M19Rik	0
MGLibA_00128	1110059M19Rik	0
MGLibA_00129	1110059M19Rik	0
MGLibA_00130	1110065P20Rik	0
MGLibA_00131	1110065P20Rik	0
MGLibA_00132	1110065P20Rik	0
MGLibA_00133	1190002N15Rik	0
MGLibA_00134	1190002N15Rik	0
MGLibA_00135	1190002N15Rik	0
MGLibA_00136	1190003K10Rik	0
MGLibA_00137	1190003K10Rik	0
